repository_path,line,kind,excerpt
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,129,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_high_c1_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,133,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_high_c1_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,137,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_high_c1_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,141,input_or_working_directory,"~ read_xlsx(file.path(out_dir, ""sim_data_1000_high_c1_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据2_生存数据_V4.R,1039,local_absolute_path,"out_dir <- ""F:/文章/大论文/程序Trae/模拟数据_4V/生存"""
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,15,local_absolute_path,"input_dir  <- ""F:/文章/大论文/程序Trae/模拟数据_4V/生存"""
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,20,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim500_30_4V_lowINTER_1c_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,24,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim500_30_4V_lowINTER_1c_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,28,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim500_30_4V_lowINTER_1c_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,32,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim500_30_4V_lowINTER_1c_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,36,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim500_30_4V_lowINTER_1c_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,40,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim500_70_4V_lowINTER_1c_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,44,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim500_70_4V_lowINTER_1c_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,48,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim500_70_4V_lowINTER_1c_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,52,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim500_70_4V_lowINTER_1c_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,56,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim500_70_4V_lowINTER_1c_L5.xlsx""), sheet = .x))"
